,question,sql,source
0,How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM HEAD WHERE AGE > 56,train_spider
1,"List the name, born state and age of the heads of departments ordered by age.","SELECT NAME , BORN_STATE , AGE FROM HEAD ORDER BY AGE",train_spider
2,"List the creation year, name and budget of each department.","SELECT CREATION , NAME , BUDGET_IN_BILLIONS FROM DEPARTMENT",train_spider
3,What are the maximum and minimum budget of the departments?,"SELECT MAX(BUDGET_IN_BILLIONS) , MIN(BUDGET_IN_BILLIONS) FROM DEPARTMENT",train_spider
4,What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT AVG(NUM_EMPLOYEES) FROM DEPARTMENT WHERE RANKING BETWEEN 10 AND 15,train_spider
5,What are the names of the heads who are born outside the California state?,SELECT NAME FROM HEAD WHERE BORN_STATE != 'CALIFORNIA',train_spider
6,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT DEPARTMENT.CREATION FROM DEPARTMENT JOIN MANAGEMENT ON DEPARTMENT.DEPARTMENT_ID = MANAGEMENT.DEPARTMENT_ID JOIN HEAD ON MANAGEMENT.HEAD_ID = HEAD.HEAD_ID WHERE HEAD.BORN_STATE = 'ALABAMA',train_spider
7,What are the names of the states where at least 3 heads were born?,SELECT BORN_STATE FROM HEAD GROUP BY BORN_STATE HAVING COUNT(*) >= 3,train_spider
8,In which year were most departments established?,SELECT CREATION FROM DEPARTMENT GROUP BY CREATION ORDER BY COUNT(*) DESC LIMIT 1,train_spider
9,Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT DEPARTMENT.NAME , DEPARTMENT.NUM_EMPLOYEES FROM DEPARTMENT JOIN MANAGEMENT ON DEPARTMENT.DEPARTMENT_ID = MANAGEMENT.DEPARTMENT_ID WHERE MANAGEMENT.TEMPORARY_ACTING = 'YES'",train_spider
10,How many acting statuses are there?,SELECT COUNT(DISTINCT TEMPORARY_ACTING) FROM MANAGEMENT,train_spider
11,How many departments are led by heads who are not mentioned?,SELECT COUNT(*) FROM DEPARTMENT WHERE DEPARTMENT_ID NOT IN (SELECT DEPARTMENT_ID FROM MANAGEMENT);,train_spider
12,What are the distinct ages of the heads who are acting?,SELECT DISTINCT HEAD.AGE FROM MANAGEMENT JOIN HEAD ON HEAD.HEAD_ID = MANAGEMENT.HEAD_ID WHERE MANAGEMENT.TEMPORARY_ACTING = 'YES',train_spider
13,List the states where both the secretary of 'Treasury' department and the secretary of 'Homeland Security' were born.,SELECT HEAD.BORN_STATE FROM DEPARTMENT JOIN MANAGEMENT ON DEPARTMENT.DEPARTMENT_ID = MANAGEMENT.DEPARTMENT_ID JOIN HEAD ON MANAGEMENT.HEAD_ID = HEAD.HEAD_ID WHERE DEPARTMENT.NAME = 'TREASURY' INTERSECT SELECT HEAD.BORN_STATE FROM DEPARTMENT JOIN MANAGEMENT ON DEPARTMENT.DEPARTMENT_ID = MANAGEMENT.DEPARTMENT_ID JOIN HEAD ON MANAGEMENT.HEAD_ID = HEAD.HEAD_ID WHERE DEPARTMENT.NAME = 'HOMELAND SECURITY',train_spider
