question,source,sql
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what state_name0 city has the largest population,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
where is the most populated area of state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
which city in state_name0 has the largest population,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what cities in state_name0 have the highest number of citizens,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what cities in state_name0 have the highest populations,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the most populous city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the largest city in state_name0 by population,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
what is the biggest city in state_name0,geography,"SELECT CITYalias0.CITY_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION = ( SELECT MAX( CITYalias1.POPULATION ) FROM CITY AS CITYalias1 WHERE CITYalias1.STATE_NAME = ""state_name0"" ) AND CITYalias0.STATE_NAME = ""state_name0"" ;"
