question,source,sql
How many heads of the departments are older than var0 ?,spider,SELECT COUNT( * ) FROM HEAD AS HEADalias0 WHERE HEADalias0.AGE > var0 ;
"List the name , born state and age of the heads of departments ordered by age .",spider,"SELECT HEADalias0.AGE , HEADalias0.BORN_STATE , HEADalias0.NAME FROM HEAD AS HEADalias0 ORDER BY HEADalias0.AGE ;"
"List the creation year , name and budget of each department .",spider,"SELECT DEPARTMENTalias0.BUDGET_IN_BILLIONS , DEPARTMENTalias0.CREATION , DEPARTMENTalias0.NAME FROM DEPARTMENT AS DEPARTMENTalias0 ;"
What are the maximum and minimum budget of the departments ?,spider,"SELECT MAX( DEPARTMENTalias0.BUDGET_IN_BILLIONS ) , MIN( DEPARTMENTalias0.BUDGET_IN_BILLIONS ) FROM DEPARTMENT AS DEPARTMENTalias0 ;"
What is the average number of employees of the departments whose rank is between var0 and var1 ?,spider,SELECT AVG( DEPARTMENTalias0.NUM_EMPLOYEES ) FROM DEPARTMENT AS DEPARTMENTalias0 WHERE DEPARTMENTalias0.RANKING BETWEEN var0 AND var1 ;
What are the names of the heads who are born outside the var0 state ?,spider,"SELECT HEADalias0.NAME FROM HEAD AS HEADalias0 WHERE HEADalias0.BORN_STATE != ""var0"" ;"
What are the distinct creation years of the departments managed by a secretary born in state ' var0 ' ?,spider,"SELECT DISTINCT DEPARTMENTalias0.CREATION FROM DEPARTMENT AS DEPARTMENTalias0 JOIN MANAGEMENT AS MANAGEMENTalias0 ON MANAGEMENTalias0.DEPARTMENT_ID = DEPARTMENTalias0.DEPARTMENT_ID JOIN HEAD AS HEADalias0 ON MANAGEMENTalias0.HEAD_ID = HEADalias0.HEAD_ID WHERE HEADalias0.BORN_STATE = ""var0"" ;"
What are the names of the states where at least var0 heads were born ?,spider,SELECT HEADalias0.BORN_STATE FROM HEAD AS HEADalias0 GROUP BY HEADalias0.BORN_STATE HAVING COUNT( * ) >= var0 ;
In which year were most departments established ?,spider,SELECT DEPARTMENTalias0.CREATION FROM DEPARTMENT AS DEPARTMENTalias0 GROUP BY CREATION ORDER BY COUNT( * ) DESC LIMIT 1 ;
Show the name and number of employees for the departments managed by heads whose temporary acting value is ' var0 ' ?,spider,"SELECT DEPARTMENTalias0.NAME , DEPARTMENTalias0.NUM_EMPLOYEES FROM DEPARTMENT AS DEPARTMENTalias0 JOIN MANAGEMENT AS MANAGEMENTalias0 ON MANAGEMENTalias0.DEPARTMENT_ID = DEPARTMENTalias0.DEPARTMENT_ID WHERE MANAGEMENTalias0.TEMPORARY_ACTING = ""var0"" ;"
How many acting statuses are there ?,spider,SELECT COUNT( DISTINCT MANAGEMENTalias0.TEMPORARY_ACTING ) FROM MANAGEMENT AS MANAGEMENTalias0 ;
How many departments are led by heads who are not mentioned ?,spider,SELECT COUNT( * ) FROM DEPARTMENT AS DEPARTMENTalias0 WHERE DEPARTMENTalias0.DEPARTMENT_ID NOT IN ( SELECT MANAGEMENTalias0.DEPARTMENT_ID FROM MANAGEMENT AS MANAGEMENTalias0 ) ;
What are the distinct ages of the heads who are acting ?,spider,"SELECT DISTINCT HEADalias0.AGE FROM MANAGEMENT AS MANAGEMENTalias0 JOIN HEAD AS HEADalias0 ON MANAGEMENTalias0.HEAD_ID = HEADalias0.HEAD_ID WHERE MANAGEMENTalias0.TEMPORARY_ACTING = ""var0"" ;"
List the states where both the secretary of ' var0 ' department and the secretary of ' var1 ' were born .,spider,"SELECT HEADalias0.BORN_STATE FROM DEPARTMENT AS DEPARTMENTalias0 JOIN MANAGEMENT AS MANAGEMENTalias0 ON MANAGEMENTalias0.DEPARTMENT_ID = DEPARTMENTalias0.DEPARTMENT_ID JOIN HEAD AS HEADalias0 ON MANAGEMENTalias0.HEAD_ID = HEADalias0.HEAD_ID WHERE DEPARTMENTalias0.NAME = ""var0"" INTERSECT SELECT HEADalias1.BORN_STATE FROM DEPARTMENT AS DEPARTMENTalias1 JOIN MANAGEMENT AS MANAGEMENTalias1 ON MANAGEMENTalias1.DEPARTMENT_ID = DEPARTMENTalias1.DEPARTMENT_ID JOIN HEAD AS HEADalias1 ON MANAGEMENTalias1.HEAD_ID = HEADalias1.HEAD_ID WHERE DEPARTMENTalias1.NAME = ""var1"" ;"
"Which department has more than var0 head at a time ? List the id , name and the number of heads .",spider,"SELECT COUNT( MANAGEMENTalias0.* ) , DEPARTMENTalias0.DEPARTMENT_ID , DEPARTMENTalias0.NAME FROM MANAGEMENT AS MANAGEMENTalias0 JOIN DEPARTMENT AS DEPARTMENTalias0 ON MANAGEMENTalias0.DEPARTMENT_ID = DEPARTMENTalias0.DEPARTMENT_ID GROUP BY DEPARTMENTalias0.DEPARTMENT_ID HAVING COUNT( MANAGEMENTalias0.* ) > var0 ;"
Which head's name has the substring ' var0 ' ? List the id and name .,spider,"SELECT HEADalias0.HEAD_ID , HEADalias0.NAME FROM HEAD AS HEADalias0 WHERE HEADalias0.NAME LIKE ""var0"" ;"
How many farms are there ?,spider,SELECT COUNT( * ) FROM FARM AS FARMalias0 ;
Count the number of farms .,spider,SELECT COUNT( * ) FROM FARM AS FARMalias0 ;
List the total number of horses on farms in ascending order .,spider,SELECT FARMalias0.TOTAL_HORSES FROM FARM AS FARMalias0 ORDER BY FARMalias0.TOTAL_HORSES ASC ;
"What is the total horses record for each farm , sorted ascending ?",spider,SELECT FARMalias0.TOTAL_HORSES FROM FARM AS FARMalias0 ORDER BY FARMalias0.TOTAL_HORSES ASC ;
"What are the hosts of competitions whose theme is not "" var0 "" ?",spider,"SELECT FARM_COMPETITIONalias0.HOSTS FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 WHERE FARM_COMPETITIONalias0.THEME != ""var0"" ;"
Return the hosts of competitions for which the theme is not var0 ?,spider,"SELECT FARM_COMPETITIONalias0.HOSTS FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 WHERE FARM_COMPETITIONalias0.THEME != ""var0"" ;"
What are the themes of farm competitions sorted by year in ascending order ?,spider,SELECT FARM_COMPETITIONalias0.THEME FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 ORDER BY FARM_COMPETITIONalias0.YEAR ASC ;
"Return the themes of farm competitions , sorted by year ascending .",spider,SELECT FARM_COMPETITIONalias0.THEME FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 ORDER BY FARM_COMPETITIONalias0.YEAR ASC ;
What is the average number of working horses of farms with more than var0 total number of horses ?,spider,SELECT AVG( FARMalias0.WORKING_HORSES ) FROM FARM AS FARMalias0 WHERE FARMalias0.TOTAL_HORSES > var0 ;
