question,source,sql
List all the businesses with more than business_rating0 stars,yelp,SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING > business_rating0 ;
List all businesses with rating business_rating0,yelp,SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING = business_rating0 ;
List all user ids with name user_name0,yelp,"SELECT USERalias0.USER_ID FROM USER AS USERalias0 WHERE USERalias0.NAME = ""user_name0"" ;"
Find all states in which there is a business_name0,yelp,"SELECT BUSINESSalias0.STATE FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" ;"
"Find all cities in which there is a category_name0 called "" business_name0 """,yelp,"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find the cities of businesses rated below business_rating0,yelp,SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING < business_rating0 ;
"Find all cities which has a "" business_name0 "" .",yelp,"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" ;"
List all the reviews which rated a business less than review_rating0,yelp,SELECT REVIEWalias0.TEXT FROM REVIEW AS REVIEWalias0 WHERE REVIEWalias0.RATING < review_rating0 ;
List all the category_name0 rated more than business_rating0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.RATING > business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"find all cities which has a "" business_name0 "" category_name0",yelp,"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
list all the reviews by user_name0,yelp,"SELECT REVIEWalias0.TEXT FROM REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
list all the businesses which have a review by user_name0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
list all the businesses which user_name0 rated review_rating0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND REVIEWalias0.RATING = review_rating0 AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
